"NAVN","REGISTERENHETID","LAT","LON"
"BJØRN BYGG AS",4098208,69.6316674517075,18.9630863055317
"BJØRN BYGG AS",4098209,69.6316674517075,18.9630863055317
"BJØRN BYGG AS",4098210,69.6316674517075,18.9630863055317
"BJØRN BYGG AS",4098211,69.6316674517075,18.9630863055317
"BJØRN BYGG AS",4098212,69.631904708636,18.9634400344024
"BJØRN BYGG AS",4098213,69.631904708636,18.9634400344024
"BJØRN BYGG AS",4098214,69.631904708636,18.9634400344024
"BJØRN BYGG AS",4098215,69.631904708636,18.9634400344024
"BJØRN BYGG AS",4098216,69.631904708636,18.9634400344024
"BJØRN BYGG AS",4098217,69.631904708636,18.9634400344024
"BJØRN BYGG AS",4099556,69.6580922292094,18.9664807360785
"BJØRN BYGG AS",4099557,69.6580922292094,18.9664807360785
"BJØRN BYGG AS",4099558,69.6580922292094,18.9664807360785
"BJØRN BYGG AS",4099559,69.6580922292094,18.9664807360785
"BJØRN BYGG AS",4099560,69.6580922292094,18.9664807360785
"BJØRN BYGG AS",4099561,69.6580922292094,18.9664807360785
"BJØRN BYGG AS",4099562,69.6580922292094,18.9664807360785
"BJØRN BYGG AS",4099564,69.6580922292094,18.9664807360785
"BJØRN BYGG AS",4099565,69.6580922292094,18.9664807360785
"BJØRN BYGG AS",4099566,69.6580922292094,18.9664807360785
"BJØRN BYGG AS",4099567,69.6580922292094,18.9664807360785
"BJØRN BYGG AS",4114419,69.6316410451544,18.957856181242
"BJØRN BYGG AS",4114420,69.6315916719245,18.9580533115885
"BJØRN BYGG AS",4114421,69.6315858687908,18.958310135677
"BJØRN BYGG AS",4114422,69.6315858687908,18.958310135677
"BJØRN BYGG AS",4114423,69.6315302091258,18.9579902857195
"BJØRN BYGG AS",4114424,69.631561689885,18.9577898242374
"BJØRN BYGG AS",4114425,69.6313868275516,18.9575767337807
"BJØRN BYGG AS",4114426,69.6313642932394,18.9577788596958
"BJØRN BYGG AS",4114427,69.6313405981219,18.9580323494087
"BJØRN BYGG AS",4114428,69.6312170922041,18.957931981653
"BJØRN BYGG AS",4114429,69.6312670455341,18.957709172435
"BJØRN BYGG AS",4114430,69.6313086325896,18.9574590144489
"BJØRN BYGG AS",4114431,69.6311600282737,18.957276607741
"BJØRN BYGG AS",4114432,69.6311207623152,18.9574240368914
"BJØRN BYGG AS",4114433,69.631113799636,18.9577322191972
"BJØRN BYGG AS",4114434,69.6310093463934,18.9575838221477
"BJØRN BYGG AS",4114435,69.6310240946476,18.9573286703214
"BJØRN BYGG AS",4114436,69.631046628433,18.9571265471387
"BJØRN BYGG AS",4119428,69.6321360494286,18.9639757860935
"BJØRN BYGG AS",4119429,69.6320643536051,18.963848933875
"BJØRN BYGG AS",4119430,69.6322755592166,18.9643216183762
"BJØRN BYGG AS",4119431,69.6322153773795,18.964202069833
"BJØRN BYGG AS",234335587,69.630176540288,18.9557551123535
"BJØRN BYGG AS",234335598,69.6303548833214,18.9560926097021
"BJØRN BYGG AS",234335600,69.6302987382342,18.955953216443
"Jøvik Sildolje & Kraftforfabrikk AS",3139211,69.6737221893253,18.9784744501468
"Jøvik Sildolje & Kraftforfabrikk AS",3143460,69.6044852518023,19.810145372504
"Jøvik Sildolje & Kraftforfabrikk AS",3143466,69.604735747341,19.8137854799632
"Jøvik Sildolje & Kraftforfabrikk AS",3143467,69.6043774159802,19.8166433276241
"Jøvik Sildolje & Kraftforfabrikk AS",3143486,69.6043594806532,19.8121019747753
"Jøvik Sildolje & Kraftforfabrikk AS",3271213,69.6730638713288,18.9762061236947
"Jøvik Sildolje & Kraftforfabrikk AS",3330937,69.6038214351656,19.811722461943
"HAUGEN AS",3127974,69.6403637314697,18.9789095542694
"SCANDINAVIAN MEDICAL CENTERS AS",4099723,69.6441913823998,18.9417952072627
"BALDER AS",3317447,69.6262821083952,18.9493039385055
"BALDER AS",3317448,69.6263251028733,18.9493892762323
"BALDER AS",3317449,69.6263686763264,18.9494489379219
"BALDER AS",3317450,69.6264122497582,18.9495085998576
"BALDER AS",3317451,69.6264564022005,18.9495425855532
"BALDER AS",3317452,69.6264993965581,18.949627924467
"BALDER AS",3317453,69.6265435489758,18.9496619105533
"BALDER AS",3317454,69.6265871223316,18.9497215734225
"BALDER AS",3317538,69.6267518901599,18.949984242132
"BALDER AS",3317539,69.6268044096893,18.9500455683508
"BALDER AS",3317540,69.6268396157331,18.950077893689
"BALDER AS",3317541,69.626883188941,18.9501375582516
"BALDER AS",3317542,69.6269267621276,18.9501972230604
"BALDER AS",3317543,69.6269703352931,18.9502568881152
"BALDER AS",3317544,69.6270139084373,18.9503165534161
"BALDER AS",3317545,69.6270658486881,18.9504035584192
"BALDER AS",3317546,69.6271529948512,18.9505228904106
"BALDER AS",3317547,69.6272395617337,18.9506679007833
"BALDER AS",3317548,69.6273267077092,18.9507872348447
"BALDER AS",3317549,69.6274121158837,18.9509836026809
"BALDER AS",4167062,69.6684175503474,18.9352390515294
"BALDER AS",4167063,69.668199217011,18.9337182399676
"BALDER AS",4167064,69.668199217011,18.9337182399676
"BALDER AS",4167065,69.668199217011,18.9337182399676
"BALDER AS",234456694,69.6665998503519,19.0174139019505
"ØKOHUS NORGE AS",3135453,69.6951372968105,18.9650869761407
"ØKOHUS NORGE AS",3135700,69.6972013500105,18.9775032102959
"ØKOHUS NORGE AS",3135701,69.6973349553942,18.9775541711071
"ØKOHUS NORGE AS",3135704,69.6976190853507,18.9780990841352
"Tromsø Automobilcompani Taco AS",3136359,69.6731631268385,18.9219384080973
"Tromsø Automobilcompani Taco AS",3136360,69.6723920195753,18.9250463977616
